E /V,I /uA,I /uA,I /uA,I /uA,I /uA,I /uA
0.5,235.279,46.798,42.978,41.598,40.723,40.524
0.495,206.992,45.786,42.104,40.769,39.926,39.757
0.49,190.317,45.019,41.475,40.202,39.358,39.235
0.485,177.064,44.39,40.969,39.726,38.898,38.806
0.48,166.28,43.853,40.524,39.328,38.499,38.422
0.475,157.076,43.377,40.11,38.959,38.192,38.085
0.47,149.13,42.994,39.757,38.622,37.901,37.778
0.465,142.135,42.61,39.435,38.346,37.594,37.502
0.46,136.168,42.242,39.189,38.07,37.349,37.272
0.455,130.722,41.92,38.913,37.809,37.103,37.042
0.45,125.952,41.628,38.668,37.594,36.888,36.842
0.445,121.672,41.352,38.438,37.379,36.674,36.643
0.44,117.76,41.092,38.238,37.18,36.49,36.459
0.435,114.217,40.862,38.024,36.981,36.321,36.275
0.43,110.949,40.616,37.794,36.781,36.137,36.075
0.425,107.989,40.417,37.64,36.628,35.983,35.937
0.42,105.227,40.202,37.456,36.459,35.799,35.784
0.415,102.65,39.987,37.303,36.29,35.646,35.646
0.41,100.257,39.803,37.134,36.152,35.508,35.493
0.405,98.002,39.604,36.996,36.014,35.37,35.355
0.4,95.87,39.45,36.858,35.861,35.232,35.232
0.395,93.861,39.297,36.72,35.707,35.109,35.094
0.39,92.02,39.143,36.566,35.569,34.986,34.956
0.385,90.286,38.959,36.428,35.447,34.848,34.848
0.38,88.599,38.791,36.29,35.324,34.71,34.726
0.375,87.065,38.637,36.137,35.201,34.588,34.634
0.37,85.592,38.515,36.014,35.094,34.48,34.511
0.365,84.197,38.376,35.907,34.986,34.357,34.403
0.36,82.862,38.238,35.799,34.864,34.25,34.296
0.355,81.589,38.1,35.677,34.741,34.158,34.173
0.35,80.423,37.962,35.539,34.618,34.066,34.051
0.345,79.242,37.824,35.431,34.526,33.943,33.959
0.34,78.168,37.686,35.324,34.419,33.821,33.867
0.335,77.125,37.579,35.216,34.311,33.713,33.774
0.33,76.097,37.471,35.109,34.219,33.606,33.652
0.325,75.161,37.364,35.017,34.127,33.514,33.56
0.32,74.241,37.257,34.925,34.02,33.422,33.483
0.315,73.29,37.149,34.818,33.928,33.33,33.376
0.31,72.431,37.027,34.726,33.821,33.253,33.284
0.305,71.649,36.919,34.618,33.728,33.161,33.207
0.3,70.851,36.812,34.541,33.636,33.069,33.115
0.295,70.069,36.72,34.434,33.544,32.977,33.038
0.29,69.317,36.612,34.342,33.468,32.9,32.946
0.285,68.596,36.49,34.25,33.391,32.793,32.854
0.28,67.89,36.398,34.173,33.299,32.701,32.762
0.275,67.215,36.306,34.066,33.207,32.624,32.685
0.27,66.586,36.229,33.989,33.146,32.563,32.609
0.265,65.973,36.137,33.913,33.069,32.486,32.532
0.26,65.359,36.045,33.851,32.977,32.394,32.471
0.255,64.776,35.953,33.759,32.9,32.317,32.379
0.25,64.178,35.861,33.667,32.808,32.256,32.287
0.245,63.626,35.769,33.575,32.731,32.164,32.21
0.24,63.089,35.661,33.498,32.655,32.072,32.133
0.235,62.567,35.585,33.437,32.578,32.01,32.056
0.23,61.984,35.477,33.33,32.517,31.918,31.964
0.225,61.54,35.416,33.284,32.471,31.872,31.918
0.22,61.079,35.324,33.207,32.394,31.78,31.842
0.215,60.619,35.247,33.13,32.302,31.719,31.765
0.21,60.144,35.17,33.038,32.21,31.642,31.673
0.205,59.714,35.063,32.961,32.133,31.581,31.612
0.2,59.315,34.986,32.885,32.072,31.504,31.566
0.195,58.886,34.91,32.808,31.995,31.443,31.489
0.19,58.426,34.833,32.716,31.949,31.381,31.412
0.185,58.011,34.756,32.655,31.888,31.305,31.335
0.18,57.613,34.664,32.593,31.811,31.228,31.274
0.175,57.214,34.588,32.532,31.719,31.167,31.197
0.17,56.815,34.495,32.455,31.642,31.105,31.121
0.165,56.431,34.419,32.363,31.581,31.044,31.059
0.16,56.048,34.327,32.287,31.52,30.967,30.998
0.155,55.649,34.265,32.225,31.458,30.906,30.937
0.15,55.281,34.189,32.133,31.381,30.86,30.86
0.145,54.928,34.097,32.102,31.305,30.783,30.799
0.14,54.56,34.02,32.041,31.243,30.707,30.722
0.135,54.207,33.943,31.98,31.167,30.63,30.661
0.13,53.885,33.867,31.888,31.105,30.584,30.584
0.125,53.532,33.79,31.796,31.059,30.507,30.522
0.12,53.195,33.698,31.719,30.998,30.446,30.461
0.115,52.888,33.606,31.642,30.921,30.384,30.4
0.11,52.581,33.544,31.566,30.845,30.323,30.308
0.105,52.274,33.452,31.52,30.768,30.262,30.246
0.1,51.968,33.376,31.489,30.691,30.17,30.17
0.095,51.661,33.284,31.428,30.63,30.108,30.108
0.09,51.354,33.222,31.32,30.568,30.047,30.032
0.085,51.062,33.13,31.197,30.507,29.97,29.955
0.08,50.771,33.023,31.121,30.415,29.878,29.878
0.075,50.464,32.931,31.029,30.323,29.801,29.786
0.07,50.173,32.854,30.937,30.216,29.74,29.679
0.065,49.897,32.762,30.845,30.139,29.648,29.587
